"address","business_id","categories","city","is_open","latitude","longitude","name","postal_code","review_count","stars","state"
"10110 Johnston Rd, Ste 15","gnKjwL_1w79qoiV3IC_xQQ","Sushi Bars, Restaurants, Japanese","Charlotte",True,"35","-81","Musashi Japanese Restaurant","28210","170","4","NC"
"4209 Stuart Andrew Blvd, Ste F","HhyxOkGAM07SRYtlQ4wMFQ","Plumbing, Shopping, Local Services, Home Services, Kitchen & Bath, Home & Garden, Water Heater Installation/Repair","Charlotte",True,"35","-81","Queen City Plumbing","28217","4","4","NC"
"9020 B Albemarle Rd","irft4YkdNsww4DNf_Aftew","Juice Bars & Smoothies, Food, Ice Cream & Frozen Yogurt","Charlotte",False,"35","-81","So Cool Frozen Yogurt","28227","6","5","NC"
"6401 Morrison Blvd","BvYU3jvGd0TJ7IyZdfiN2Q","Sandwiches, Italian, American (Traditional), American (New), Seafood, Steakhouses, Restaurants","Charlotte",False,"35","-81","Manzetti's Tavern","28211","16","4","NC"
"13129 S Tryon St, Ste 120","Qnz3ywR7BosTr8qDk6G-Pw","Home & Garden, Mattresses, Home Decor, Furniture Stores, Shopping","Charlotte",True,"35","-81","Mattress Firm Final Markdown","28278","4","5","NC"
"6432 E Independence Blvd","_J_x_RaYTqAqAuCwgRhnRQ","Coffee & Tea, Hookah Bars, Nightlife, Persian/Iranian, Country Dance Halls, Middle Eastern, Beer, Wine & Spirits, Bars, Restaurants, Food, Lounges, Delis","Charlotte",False,"35","-81","Kabob House","28212","15","3","NC"
"14130 Rivergate Pkwy, Ste 200","0KlYc--jcw4EOYdPS8CDQg","Beauty & Spas, Hair Salons, Kids Hair Salons","Charlotte",True,"35","-81","Cookie Cutters Haircuts for Kids","28273","7","4","NC"
"Northlake Mall, 6801 Northlake Mall Drive","jtzU8hk78718cNWM_dMcDg","Men's Clothing, Sporting Goods, Shopping, Fashion, Women's Clothing, Sports Wear","Charlotte",False,"35","-81","Gap","28216","3","4","NC"
"2412 Beatties Ford Rd","sV6kKpzneWwQ8cY8gQ8bgA","Libraries, Educational Services, Education, Books, Mags, Music & Video, Shopping, Bookstores, Public Services & Government","Charlotte",True,"35","-81","Charlotte Mecklenburg Library - Beatties Ford Road Regional","28216","5","4","NC"
"2923 S Tryon St, Ste 250","WyNlF7TMW7lNIta0jpWabw","Local Services, Bike Repair/Maintenance","Charlotte",False,"35","-81","The Spoke Easy","28203","6","5","NC"
"1401 Central Ave, Ste 200","QaXU3XeFaWwJ1_E1A3_3uw","Art Galleries, Used, Vintage & Consignment, Shopping, Furniture Stores, Home & Garden, Home Decor, Arts & Entertainment, Fashion","Charlotte",True,"35","-81","Slate Interiors","28205","8","3","NC"
"1514 East Blvd","U3kygJOTlTQFlfaZS7sQjA","Caterers, Hot Dogs, Restaurants, Vegetarian, American (Traditional), Event Planning & Services","Charlotte",True,"35","-81","JJ's Red Hots - Dilworth","28203","380","4","NC"
"4139 Park Rd","sAX1q1kLvOnXKURq_MP_Wg","Bookstores, Books, Mags, Music & Video, Shopping, Newspapers & Magazines","Charlotte",True,"35","-81","Park Road Books","28209","33","4","NC"
